ID,Category,Parent,Image,Description,Keywords,Active,HeaderImage,ListImage,CatColumns,CatRows,CatOrder,MetaTitle
1,Agaves,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Agave Species</strong></span></p>","Agave plants, agave cactus, blue agave cactus, century plants, sales list
",Yes,,images/Agave_decipiensT.jpg~images/AgaveAmericanaVariegataT.jpg,1,,4,"Agaves, centry plants sales list"
2,Chollas,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Chollas (Cylindropuntia Species)</strong></span></p>","CYLINDROPUNTIA SPECIES INDEX, CHOLLAS, Acanthocarpa, Buckhorn Cholla, Mail order cholla, buy chollas",Yes,,images/TeddyBearChollaT.jpg~images/CylindropuntiaFuligidaT.jpg,1,,10,CYLINDROPUNTIA SPECIES INDEX
3,Opuntia species,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Opuntia Species</strong></span></p>","Opuntia speciesOpuntia, Prickly Pear, pear cactus, Opuntia species",Yes,,images/0putniaStreptacanthsT.jpg~images/OpuntiaAlbaspina.jpg,1,,22,Opuntia species
4,Aloes,90,,"<div><span style=""color: #006633; font-size: medium;""><strong>ALOE SPECIES</strong></span></div>
<div><strong><span style=""color: #ff0000;"">&nbsp;</span></strong></div>","ALOE SPECIES, Aloe vera, long list of aloes and other succulents",No,,images/AloeNobelisT.jpg~images/AloeBrevifoliaT.jpg,1,,5,"ALOE SPECIES, Aloe vera,long list of aloes and other succulents"
5,Euphorbia species,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Euphorbia Species</strong></span></p>",EUPHORBIA SPECIES,Yes,,images/EuphorbiaTirucalliT.jpg~images/EuphorbiaResiniferaT.jpg,1,,16,EUPHORBIA SPECIES 
6,Trichocereus,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Trichocerus Species</strong></span></p>",Trichocereus Species,Yes,,images/TrichocereusT.jpg~images/TrichocereusPeruT.jpg,1,,25,Trichocereus Species
541,Succulent collections,90,,"<p>Succulent Collections. Great assortment of different colors,  textures and forms.&nbsp;&nbsp; Drought tolerant. Plants are well rooted, includes pot, soil and label with common and    botanical names and planting directions. Plants in 2.5"" pots range in   size from 2.5 to 3.5  inches. Plants in 3.5 inch post range in size from   3"" to 5"". Create your own container garden or  centerpiece   using&nbsp; these very popular succulents, or buy in bulk to use  as wedding   or party favors.</p>",Succulent collections,No,,images/AssortedSucculentsT.JPG,1,,26,Succulent collections
7,Barrel type (Globular),90,,"<p align=""center""><strong><span style=""color: #006633; font-size: medium;"">Barrel type Cacti (Globular)</span></strong></p>","ferocactus, Barrel Cacti and barrel shaped cacti",Yes,,images/FerocactusStainesii.jpg~images/FerocactusHerrerae.jpg,1,,8,Barrel Cacti types
8,Echinocereus species,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Echinocereus species (Hedgehogs)<br /></strong></span></p>","ECHINOCEREUS species, Rainbow cactus, Hedgehog, ",Yes,,images/EchinocereusCoccineusT.jpg~images/EchinocereusFendleriT.jpg,1,,14,"ECHINOCEREUS, Rainbow cactus, Hedgehog"
9,Yucca,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Yucca Species</strong></span></p>","Yucca Aloifolia, Spanish Bayonet,a mail order yucca",Yes,,images/YuccaWhipplei.jpg~images/YuccaStricta.jpg,1,,28,Yucca index
10,Golden Barrel ,90,,"<p align=""center""><span style=""color: #008000;""><strong><span style=""font-size: small;"">Golden Barrel (Echinocactus Grusonii)</span></strong></span></p>","Echinocactus Grusonii, Golden Barrel Cacti,
Mail order golden barrel",Yes,,images/GoldenBarrelT.jpg,1,,18,Echinocactus Grusonii
12,Crassula species (Jades),90,,"<p align=""center""><strong><span style=""font-size: medium;"">&nbsp;Crassula Species (Jades)<br /></span></strong></p>",Crassula Species (Jades),No,,images/crassulaspeciesT.JPG,1,,12,Crassula Species (Jades)
13,Mammillaria species,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Mammillaria Species</strong></span></p>
<p align=""center""><span style=""color: #000000;""><span style=""font-size: small;""><strong>2.5 inch plants include pot, soil and label with common and botanical names.</strong></span></span></p>",Mammillaria species,Yes,,images/Mammillaria_ParkinsoniiT.jpg,1,,20,Mammillaria species
32,Succulent Seeds A-Z,101,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Succulent Seeds A-Z</strong></span></p>","SEEDS Succulents, Succulent seeds, List A to Z",Yes,,images/Aloe_thompsonia_T.jpg,1,13,17,"Succulent seeds, List A to Z"
18,Gift Certificates,0,,"<p>Gift Certificates are available for every budget!&nbsp; Choose the one that's right for you!</p>","Gift Certificates are available for every budget!  Choose the one that's right for you!",No,,images/GiftCertificateT.jpg,1,,3,Gift Certificates
17,Organ Pipe Cacti ,90,,"<div><span style=""color: #006633; font-size: medium;""><strong>Organ Pipe Cacti (Stenocereus species)<br /></strong></span></div>
<div><strong><span style=""color: #ff0000;"">&nbsp;</span></strong></div>","Lophocereus Schotti (Senita), Lophocereus stenocereus, organ pipe  mail order cacti desert plants",Yes,,images/IMG_1776StenocereusMarginatus_T8.jpg,1,,23,Organ Pipe Cacti
60,Cacti Seed Sale,100,,<p>Cacti Seeds on Sale</p>,Cacti Seeds on Sale,Yes,,images/FerocactusWislizenii_I.jpg,1,,20,Cacti Seeds on Sale
105,GRASS SEED INDEX,0,,"<p><span style=""color: #008000;""><strong>GRASS SEED INDEX. Ornamental Grasses, Riparian and Wetland Grasses and Sedges, Native grasses and Revegetation Seeds</strong></span></p>","GRASS SEED INDEX. Ornament grasses, Riparian and Wetland Grasses and Sedges, Native grasses and Revegetation Seeds",Yes,,images/CarexhoodiiT.JPG,3,,6,"GRASS SEED INDEX. Ornament grasses, Riparian and Wetland Grasses and Sedges, Native grasses and Revegetation Seeds"
16,ALL SUCCULENTS,90,,"<p align=""center""><span style=""color: #006633; font-size: medium;""><strong>Succulent Plant List<br /></strong></span></p>","Aloes, agaves, succulents, desert plants",Yes,,images/Aloe_cryptodia_T.jpg,1,,3,"Aloes, agaves, succulents, desert plants"
