ID,Catalog,Item,Description,SmImage,LgImage,Category1,Category2,Category3,Units,RegPrice,SalePrice,OutOfStock,Active,Inventory,Keywords,Category4,Category5,DiscountPr,Wholesale,Featured,DateEdited,ItemCost,TaxPercent,PopUpPg,SmImage2,LgImage2,SmImage3,LgImage3,MetaTitle,WSOnly
1,,Agave americana (Century plant),"<p>Agave americana (Blue Century plant). Sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Each rosette in the clump grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",images/Agaveamericana_T.jpg,images/Agaveamericana_L.jpg,1,79,16,0.00,0.00,0.00,No,No,,"agave americana, century plants",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"agave americana, century plants",No
2,,"Agave 'Mediopicta alba'","<p>Agave 'Mediopicta alba' (Agave americana ssp) sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 18&deg;F. Rosettes grows to 2' tall - 4' wide. Compact agave. Infrequent water. Native Mexico.</p>",images/AgaveMediopictaT.jpg,images/AgaveMediopicta.jpg,1,16,79,0.00,0.00,0.00,No,No,,Agave Americana Medio-Picta alba,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Agave Americana Medio-Picta alba,No
3,,Agave americana variegata,"<p>Agave americana varigata. Sunset: 10-30; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",images/agave_americana_varigata_T.jpg,images/CS_agave_americana_varL.jpg,1,16,79,0.00,0.00,0.00,No,Yes,,Agave Americana Variegata Variegated Century Plant,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Agave Americana Variegata Variegated Century Plant,No
4,,"Agave angustifolia 'Marginata'","<p>Agave angustifolia 'Marginata' (Ribbon agave). Sunset: 12-24; USDA: 9b-10. Full sun to light shade, heat tolerant. Hardy to 25&deg;F. Grows to 3' tall - 3' wide. Infrequent water. Native to Mexico.</p>",images/AgaveAugustifoliaT.jpg,images/AgaveAugustifolia.jpg,1,16,79,0.00,0.00,0.00,No,No,,"Agave Augustifolia var. Margentia, varigated Ribbon Agave",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Agave Augustifolia var. Margentia, varigated Ribbo",No
5,,Cylindropuntia acanthocarpa (Buckhorn cholla),"<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",images/Cylindropuntiaacanthocarpa_T.jpg,images/Cylindropuntiaacanthocarpa_L.jpg,2,28,79,0.00,0.00,0.00,No,No,,"Cylindropuntia Acanthocarpa, Buckhorn Cholla)",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Cylindropuntia Acanthocarpa, Buckhorn Cholla)",No
6,,Cylindropuntia acanthocarpa v. thornberi,"<p>Cylindropuntia acanthocarpa var. thornberi (USDA: 9-11). Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Shrubby cholla grows to 10' tall; 7' wide. Native to southern Utah, S.E. CA, AZ</p>",images/Cylindropuntia_thornberi_T.jpg,images/Cylindropuntia_thornberi_L.jpg,2,28,79,0.00,0.00,0.00,No,No,,Cylindropuntia Acanthocarpa var. Thornberi,0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Cylindropuntia Acanthocarpa var. Thornberi,No
7,,Cylindropuntia bigelovii (Teddy bear cholla),"<p>Cylindropuntia bigelovii (Teddy bear cholla). Sunset: 10-13. Full sun. Heat tolerant. Little or no water. Hardy to 5&deg;F. Grows to 6' tall; 3' wide. Origin: Arizona, California and Mexico.</p>",images/Cylindropuntiabigelovii_T.jpg,images/Cylindropuntiabigelovii_L.jpg,28,2,79,0.00,0.00,0.00,No,Yes,,Cylindropuntia Bigelovii (Teddy Bear Cholla),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Cylindropuntia Bigelovii  Teddy Bear Cholla,No
9,,Opuntia engelmannii var. aciculata (Chenille),"<p>Opuntia engelmannii var. aciculata (Chenille); Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 3' tall. Origin: Southwestern USA, NW Mexico.</p>",images/OpuntiaEnglemanniivar.Aciculata_T.jpg,images/OpuntiaEnglemanniivar.Aciculata_L.JPG,28,3,79,0.00,0.00,0.00,No,Yes,,"Opuntia Englemannii var. Aciculata (Chenille), prickly pear cactus",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Opuntia Englemannii var. Aciculata (Chenille),No
10,,Opuntia engelmannii (Engelman prickly pear),"<p>Opuntia engelmannii (Engelman prickly pear) Sunset: 8,9, 12-24; USDA: 9-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 8' tall. Origin: Arizona, California</p>",images/OpuntiaEnglemannii_T.jpg,images/OpuntiaEnglemannii_L.jpg,28,3,79,0.00,0.00,0.00,No,Yes,,Opuntia Englemannii (Engleman Prickly Pear),0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,Opuntia Englemannii (Engleman Prickly Pear),No
11,,"Opuntia engelmannii var. linguiformis (Cow's tongue)","<p>Opuntia engelmannii var. linguiformis (Cow's tongue) Sunset: 8-24; USDA: 8-10. Full sun. Heat tolerant. Little to no water. Hardy to 0&deg;F. Grows to 5' tall. Origin: Southwestern USA, northwestern Mexico.</p>",images/OpuntiaEngelmanniiv.Linguiformis_T.jpg,images/OpuntiaEngelmanniiv.Linguiformis_L.JPG,28,3,79,0.00,0.00,0.00,No,No,,"Opuntia Engelmannii v. Linguiformis (Cow's Tongue), prickly pear cactus",0,0,,0.00,No,2008-09-16T07:00:00.000Z,0.00,0.0000,0,,,,,"Opuntia Engelmannii v. Linguiformis (Cow's Tongue)",No
