ID,ItemID,OptionNum,Name,Type,Attributes,Active
1,1,1,Sizes Available,Drop Down,8-9 inch plant:40.00,Yes
2315,2356,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:3.50,Yes
2,3,1,Sizes Available,Drop Down,10-12 inch plant:50.00,Yes
2173,2213,1,Sizes available,Drop Down,25 seeds:1.50~100 seeds:4.00,Yes
3,4,1,Sizes Available,Drop Down,"6-8 inch plant:15.00
",Yes
4,5,1,Sizes Available,Drop Down,10 inch rooted plant (1 gal.):15.00~(3) 5-8 inch cuttings:15.00~(10) 5-8 inch cuttings:35.00,Yes
5,6,1,Sizes Available,Drop Down,(3) 5 to 8 inch cuttings:12.00~(6) 5 to 8 inch cuttings:18.00,Yes
6,7,1,Sizes Available,Drop Down,(3) 3 to 5 inch cuttings:17.50,Yes
199,247,1,Sizes available,Drop Down,(3) 4-5 inch cuttings:15.00~(10) 4-5 inch cuttings:25.00,Yes
8,9,1,Sizes Available,Drop Down,(1) 6-8 inch cutting:12,Yes
4179,4241,1,Select quantity,Drop Down,100 seeds:3.50,Yes
9,10,1,Sizes Available,Drop Down,1 cutting (4-6 inch):10.00,Yes
10,13,1,Sizes Available,Drop Down,(1) 6-10 inch plant:10.00~(5) 6-10 inch plants:25.00~(10) 6-10 inch plants:35.00,Yes
11,14,1,Sizes Available,Drop Down,5-8 inch plant:10.00~(3) 5-8 inch plants:20.00,Yes
12,18,1,Sizes Available,Drop Down,(1) 5-8 plant:10.00~(3) 5-8 plants:15.00~(10) 5-8 plants:35.00,Yes
13,21,1,Sizes Available,Drop Down,3-4 inch plant:15,Yes
358,23,1,Sizes Available,Drop Down,5-6  inch plant:70.00,Yes
14,24,1,Sizes Available,Drop Down,12 inch rooted plant 20 + stems:35.00,Yes
15,27,1,Sizes Available,Drop Down,8-12 inch multi-stemed unrooted cutting:15.00,Yes
16,28,1,Sizes Available,Drop Down,8-10 inch multi-stemed plant:15.00,Yes
17,29,1,Sizes Available,Drop Down,4 inch bare root:16.00~6 inch bare root:40.00,Yes
4733,4804,1,Select size,Drop Down,100 seeds:5.00~500 seeds:13.50~1000 seeds:25.00,Yes
18,30,1,Sizes Available,Drop Down,5-6 inch rooted single stem:25.00,Yes
19,31,1,Sizes Available,Drop Down,4-5 inch plant:10.00~6-7 inch plant:15.00~6 inch plant with 2 heads:20.00,Yes
20,32,1,Sizes Available,Drop Down,8 inch plant:25.00~12 inch plant:40.00,Yes
21,33,1,Sizes Available,Radio Button,2 gal. bare root ~5 gal. bare root:20.00,Yes
22,37,1,Sizes Available,Drop Down,9-10 inch cutting:25,Yes
23,38,1,Sizes Available,Drop Down,6 inch rooted plant:25.00~15-16 inch rooted plant w. off sets:110.00,Yes
24,39,1,Sizes Available,Drop Down,10 inch unrooted cutting:17.50~(3) 10 inch unrooted cuttings:45.00~16 inch unrooted cutting:40.00,Yes
