id,parentProductId,title,categories,description,quantity,price,active,status
1,1,Agave americana (Century plant),"Agave species,ALL CACTI / SUCCULENTS,ALL SUCCULENTS,ALL PLANTS INDEX","<p>Agave americana (Blue Century plant). Sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Each rosette in the clump grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",,,outofstock,private
1-variation-0,1,Agave americana (Century plant),,"<p>Agave americana (Blue Century plant). Sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Each rosette in the clump grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",8-9 inch plant,40.00,outofstock,private
2,2,"Agave 'Mediopicta alba'","Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave 'Mediopicta alba' (Agave americana ssp) sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 18&deg;F. Rosettes grows to 2' tall - 4' wide. Compact agave. Infrequent water. Native Mexico.</p>",,,outofstock,private
2-variation-0,2,"Agave 'Mediopicta alba'",,"<p>Agave 'Mediopicta alba' (Agave americana ssp) sunset: 10-24; USDA 8b-12. Full sun, heat tolerant. Hardy to 18&deg;F. Rosettes grows to 2' tall - 4' wide. Compact agave. Infrequent water. Native Mexico.</p>",10-12 inch plant,50.00,outofstock,private
3,3,Agave americana variegata,"Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave americana varigata. Sunset: 10-30; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",,,instock,publish
3-variation-0,3,Agave americana variegata,,"<p>Agave americana varigata. Sunset: 10-30; USDA 8b-12. Full sun, heat tolerant. Hardy to 15°F. Grows to 6' tall - 6' wide. Allow space for growth. Infrequent water. Native to Mexico, naturalized in West USA.</p>",10-12 inch plant,50.00,instock,publish
4,4,"Agave angustifolia 'Marginata'","Agave species,ALL SUCCULENTS,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Agave angustifolia 'Marginata' (Ribbon agave). Sunset: 12-24; USDA: 9b-10. Full sun to light shade, heat tolerant. Hardy to 25&deg;F. Grows to 3' tall - 3' wide. Infrequent water. Native to Mexico.</p>",,,outofstock,private
4-variation-0,4,"Agave angustifolia 'Marginata'",,"<p>Agave angustifolia 'Marginata' (Ribbon agave). Sunset: 12-24; USDA: 9b-10. Full sun to light shade, heat tolerant. Hardy to 25&deg;F. Grows to 3' tall - 3' wide. Infrequent water. Native to Mexico.</p>",6-8 inch plant,"15.00
",outofstock,private
5,5,Cylindropuntia acanthocarpa (Buckhorn cholla),"Chollas species,ALL CACTI,ALL CACTI / SUCCULENTS,ALL PLANTS INDEX","<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",,,outofstock,private
5-variation-0,5,Cylindropuntia acanthocarpa (Buckhorn cholla),,"<p>Cylindropuntia acanthocarpa (Buckhorn cholla) USDA: 9-11. Full sun. Heat tolerant. Little or no water. Hardy to 15&deg;F. Grows to 10' tall; 10' wide. Native to southern Utah, S.E. California, Arizona</p>",10 inch rooted plant (1 gal.),15.00,outofstock,private
